FIELD,DESCRIPTION
Year,2009
Country,Indonesia
Region,Southeast Asia
Event Name,Padang 
Local Date,30/09/2009
Local Time,17:16:00
Longitude (decimal degrees),99.867
Latitude (decimal degrees),-0.72
Depth (km),81
Mw,7.6
Max Intensity (MMI),VIII
Fault mechanism,Oblique reverse
Tectonic region type,Subduction intraslab 
Fatalities,1117
Injured,2900
Affected population,1200000
Damaged units,249833
Economic losses,2300 M USD
Insured losses,100 M USD
Earthquake-triggered effects,Landslides
USGS event ID,usp000h237
Wikipedia page,https://en.wikipedia.org/wiki/2009 Sumatra earthquakes
